timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478478745.11,-0.081134,0.409755,-3.113942,-1.735965,0.971093,-0.059925,-0.074336,-0.398385,-0.914201,-0.106527,0.233773,0.127015,1.417881,-49.897217,-35.774914,,,,,,
1478478745.12,-0.071819,0.387889,-3.119265,-2.215301,0.577381,-0.347189,-0.066426,-0.378235,-0.923323,-0.019435,0.130768,0.255782,1.417881,-49.897217,-35.774914,,,,,,
1478478745.13,-0.069640,0.363105,-3.123642,-2.409245,-0.160078,-0.144987,-0.065047,-0.355178,-0.932533,-0.033235,-0.066513,0.335441,2.196198,-48.462105,-37.658844,,,,,,
1478478745.14,-0.079038,0.338077,-3.124134,-2.333988,-1.175286,0.189662,-0.074486,-0.331674,-0.940449,-0.134483,-0.000952,0.314610,2.196198,-48.462105,-37.658844,,,,,,
1478478745.15,-0.096540,0.316835,-3.124290,-1.904183,-1.777053,0.145929,-0.091592,-0.311560,-0.945802,-0.064871,0.055350,0.306413,1.885840,-46.516788,-40.052711,,,,,,
1478478745.16,-0.116223,0.299318,-3.125757,-1.614988,-1.928661,0.000583,-0.110806,-0.294869,-0.949091,0.022793,0.020714,0.129954,1.885840,-46.516788,-40.052711,,,,,,
1478478745.17,-0.134322,0.282970,-3.129221,-1.587712,-1.752807,-0.155299,-0.128593,-0.279209,-0.951581,0.022620,0.048099,-0.083331,0.239151,-44.932590,-41.863979,,,,,,
1478478745.18,-0.147499,0.266036,-3.134262,-1.689733,-1.238198,-0.246404,-0.141795,-0.262909,-0.954344,0.009135,0.075287,-0.166993,-0.511544,-44.230167,-42.603027,,,,,,
1478478745.19,-0.154258,0.248002,-3.140800,-1.818884,-0.661607,-0.374515,-0.148946,-0.245468,-0.957894,-0.076503,0.066940,-0.187477,-0.511544,-44.230167,-42.603027,,,,,,
1478478745.20,-0.155947,0.228924,3.133486,-1.953967,-0.279691,-0.591409,-0.151264,-0.226930,-0.962093,-0.170193,0.032777,-0.159962,-1.246188,-42.664379,-44.156372,,,,,,
1478478745.21,-0.154308,0.209016,3.121726,-2.062679,-0.025887,-0.848687,-0.150352,-0.207498,-0.966612,-0.064233,-0.038978,-0.119127,-1.246188,-42.664379,-44.156372,,,,,,
1478478745.22,-0.150780,0.188984,3.107492,-2.086680,0.083468,-1.074094,-0.147535,-0.187861,-0.971052,-0.088167,-0.117833,-0.106814,-0.879267,-40.805283,-45.888378,,,,,,
1478478745.23,-0.147877,0.169303,3.091937,-2.058012,-0.028010,-1.178500,-0.145232,-0.168496,-0.974944,-0.096513,-0.130271,-0.069367,-0.879267,-40.805283,-45.888378,,,,,,
1478478745.24,-0.147414,0.150293,3.076290,-1.985250,-0.253787,-1.189582,-0.145225,-0.149728,-0.978004,-0.078942,-0.140967,-0.056924,0.072755,-38.772633,-47.626308,,,,,,
1478478745.25,-0.150942,0.132154,3.060590,-1.908370,-0.657520,-1.212318,-0.149058,-0.131770,-0.980009,-0.051030,-0.155279,-0.085893,0.072755,-38.772633,-47.626308,,,,,,
1478478745.26,-0.159800,0.115143,3.045045,-1.810376,-1.154316,-1.182894,-0.158068,-0.114889,-0.980722,0.013841,-0.124521,-0.082633,0.645348,-36.761684,-49.190948,,,,,,
1478478745.28,-0.173650,0.100747,3.030677,-1.465655,-1.547519,-1.090334,-0.171903,-0.100577,-0.979966,0.081922,-0.095529,-0.076995,0.645348,-36.761684,-49.190948,,,,,,
1478478745.29,-0.188728,0.092171,3.018429,-0.852115,-1.489268,-0.961041,-0.186813,-0.092041,-0.978074,0.125321,-0.096008,-0.095229,0.210077,-34.967026,-50.486141,,,,,,
1478478745.30,-0.199588,0.090106,3.008457,-0.218745,-0.974237,-0.871061,-0.197462,-0.089984,-0.976172,0.162549,-0.092115,-0.096811,0.210077,-34.967026,-50.486141,,,,,,
1478478745.31,-0.202994,0.094068,3.000232,0.340087,-0.184704,-0.829715,-0.200711,-0.093930,-0.975137,0.170804,-0.013477,-0.194022,-0.529642,-34.231369,-50.985493,,,,,,
1478478745.32,-0.198095,0.101907,2.993461,0.669409,0.568406,-0.739558,-0.195781,-0.101731,-0.975357,0.137965,0.089829,-0.269715,-0.529642,-34.231369,-50.985493,,,,,,
1478478745.33,-0.189496,0.109752,2.989236,0.609499,0.804464,-0.473361,-0.187230,-0.109531,-0.976190,0.039312,0.063725,-0.231756,0.057707,-34.673588,-50.688526,,,,,,
1478478745.34,-0.182600,0.113481,2.985902,0.171464,0.507781,-0.360617,-0.180419,-0.113238,-0.977050,-0.049241,0.023394,-0.214692,0.057707,-34.673588,-50.688526,,,,,,
1478478745.35,-0.181937,0.112124,2.981302,-0.326645,-0.155049,-0.425300,-0.179799,-0.111889,-0.977319,-0.115581,-0.027363,-0.217154,1.133499,-35.170139,-50.332531,,,,,,
1478478745.36,-0.186200,0.107231,2.974940,-0.626594,-0.526883,-0.539867,-0.184063,-0.107025,-0.977070,-0.072636,0.031418,-0.213832,1.290015,-35.056026,-50.408318,,,,,,
1478478745.37,-0.189707,0.100809,2.966312,-0.797635,-0.356825,-0.736534,-0.187614,-0.100639,-0.977074,-0.068459,0.048667,-0.195106,1.290015,-35.056026,-50.408318,,,,,,
1478478745.38,-0.191748,0.092334,2.956085,-1.031976,-0.293384,-0.801084,-0.189764,-0.092203,-0.977491,-0.046030,-0.023504,0.017164,1.251487,-34.337288,-50.901588,,,,,,
1478478745.39,-0.194309,0.082308,2.945966,-1.136432,-0.327925,-0.739460,-0.192435,-0.082215,-0.977860,-0.021966,-0.117965,0.071900,1.251487,-34.337288,-50.901588,,,,,,
1478478745.40,-0.196104,0.071874,2.936431,-1.148879,-0.201082,-0.685364,-0.194346,-0.071812,-0.978301,-0.024404,-0.142009,0.026976,1.472409,-33.185410,-51.654121,,,,,,
1478478745.41,-0.195983,0.061828,2.926426,-1.112962,0.006388,-0.771747,-0.194359,-0.061788,-0.978983,0.057411,-0.088129,0.043329,1.472409,-33.185410,-51.654121,,,,,,
1478478745.42,-0.193815,0.052208,2.915651,-1.093088,0.174061,-0.842972,-0.192341,-0.052184,-0.979940,0.133045,-0.062485,0.006765,1.805196,-31.918180,-52.436234,,,,,,
1478478745.43,-0.191800,0.042684,2.904534,-1.093887,0.119822,-0.864144,-0.190453,-0.042671,-0.980769,0.137138,-0.034050,-0.013311,1.805196,-31.918180,-52.436234,,,,,,
1478478745.44,-0.191161,0.033118,2.893602,-1.087718,-0.000323,-0.837498,-0.189895,-0.033112,-0.981246,0.118010,-0.024779,-0.038331,2.521564,-30.665636,-53.149300,,,,,,
1478478745.45,-0.191562,0.023463,2.883390,-1.085606,-0.082659,-0.751452,-0.190340,-0.023461,-0.981438,0.054583,-0.043953,-0.098610,2.521564,-30.665636,-53.149300,,,,,,
1478478745.46,-0.191843,0.014117,2.874631,-0.998974,-0.005401,-0.612916,-0.190649,-0.014117,-0.981557,-0.010446,-0.012098,-0.148280,3.009955,-29.393568,-53.838146,,,,,,
1478478745.47,-0.189169,0.006527,2.867363,-0.781012,0.350058,-0.521333,-0.188039,-0.006527,-0.982140,-0.038294,0.007412,-0.155128,3.009955,-29.393568,-53.838146,,,,,,
1478478745.49,-0.182379,0.001227,2.861360,-0.540542,0.728089,-0.450656,-0.181370,-0.001227,-0.983414,-0.089138,0.017005,-0.152832,3.487891,-28.288721,-54.398258,,,,,,
1478478745.50,-0.173807,-0.001390,2.856523,-0.250733,0.815921,-0.393991,-0.172933,0.001390,-0.984933,-0.096690,0.018966,-0.102760,3.487891,-28.288721,-54.398258,,,,,,
1478478745.51,-0.165844,-0.000488,2.852873,0.121420,0.736144,-0.346798,-0.165085,0.000488,-0.986279,-0.066437,-0.024612,-0.088138,4.582282,-27.720430,-54.609230,,,,,,
1478478745.52,-0.159083,0.003692,2.849966,0.416965,0.601816,-0.337811,-0.158411,-0.003692,-0.987366,-0.033300,-0.044770,-0.069106,5.121070,-27.717066,-54.563049,,,,,,
1478478745.53,-0.154343,0.009922,2.847350,0.569073,0.404788,-0.328611,-0.153723,-0.009922,-0.988064,0.014929,-0.019909,-0.100223,5.121070,-27.717066,-54.563049,,,,,,
1478478745.54,-0.150343,0.015778,2.845371,0.493635,0.375292,-0.258068,-0.149759,-0.015777,-0.988597,0.066141,-0.004227,-0.106206,5.944149,-28.188902,-54.236893,,,,,,
