accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
1.715088,-0.846450806,1.602539063,0.397949219,1.679047,0.099556951,-0.072512018,-0.428242162
1.774231,0.173492432,0.736038208,0.409805298,1.749024,-0.002418683,-0.588705607,0.56955961
1.833374,-0.355010986,0.818359375,0.278091431,1.81897,-0.305572701,-0.717229229,0.088870218
1.892518,-0.094528198,0.751953125,0.168930054,1.888947,0.736114237,-0.40665591,0.838326892
1.951661,0.089523315,0.686706543,0.183044434,1.92392,0.292388989,-0.36149003,0.802891403
2.010804,-0.15083313,0.717391968,0.248886108,1.993866,-0.17097654,-0.104802579,0.133970319
2.069947,0.097457886,0.762145996,0.010314941,2.063843,0.508905583,0.143324139,0.233587457
2.12909,0.093078613,0.935317993,0.132507324,2.098816,-0.042592202,0.184737892,0.114528976
2.188233,0.080291748,1.092086792,0.029586792,2.168793,0.113565178,-0.050104446,-0.03292253
2.247376,-0.05619812,1.314697266,0.084640503,2.203766,-0.154928864,0.088311487,-0.174566481
2.306519,-0.114044189,1.612091064,0.139099121,2.273713,0.151791926,-0.171306772,-0.20700831
2.365662,-0.170272827,1.189361572,0.769073486,2.343689,-0.960671181,0.160702597,-0.424896433
2.424805,-0.359069824,0.906555176,0.291305542,2.413636,0.309201258,0.114699951,-0.293352787
2.483918,-0.006225586,0.912734985,0.222839355,2.448609,0.145963865,-0.23556299,0.1107883
2.5429995,-0.114547729,0.71395874,0.116394043,2.518586,-0.015121162,-0.091954425,-0.266462849
2.6021425,-0.389984131,0.47492981,0.140090942,2.588479625,-0.409265542,0.365411002,-0.650643278
2.6612855,0.065841675,0.650558472,0.107025146,2.623483625,0.006037919,0.093796534,0.021858161
2.7204285,-0.384002686,0.704345703,0.168121338,2.693429625,-0.208958011,-0.204719856,-0.415756198
2.7795715,-0.25541687,1.075927734,0.185333252,2.763406625,0.305017432,-0.093433811,-0.008219314
2.8387145,-0.148162842,1.147537231,0.080917358,2.833352625,0.50927523,-0.149359928,0.046487075
2.8978575,-0.098388672,1.202056885,0.328674316,2.868325625,0.761397223,-0.428888245,0.080510556
2.9570005,-0.914077759,1.480361938,0.510681152,2.938302625,-1.012439837,0.6208465,-0.942359285
3.0161435,0.062911987,0.555892944,0.343276978,3.008248625,0.029643646,-1.218651862,0.601274662
3.0752865,-0.641082764,0.832855225,0.347808838,3.043221625,-0.415209717,-0.101153782,-0.129686358
3.1344295,0.07913208,0.700317383,0.109725952,3.113198625,0.654901406,0.165643826,1.366237592
3.1935725,0.079116821,0.761398315,0.193405151,3.183144625,-0.156378689,0.61737214,0.60721724
3.2527165,-0.160705566,0.781097412,0.240737915,3.218148625,-0.22445894,0.388024968,0.335172938
3.3118595,0.167861938,0.887161255,0.04083252,3.288094625,0.501286812,0.541467788,0.630336142
3.3710025,0.116088867,0.927352905,0.136489868,3.358041625,-0.027495807,0.387564773,0.218142987
3.4301455,0.090682983,0.891387939,0.076095581,3.393044625,-0.085408908,0.190111352,0.131081588
3.4892885,-0.004760742,1.040985107,0.037353516,3.462991625,-0.014910506,0.361283368,-0.111722271
3.5484315,0.055175781,1.139419556,0.154953003,3.532967625,-0.44246797,0.609271336,-0.044597562
3.6075745,-0.291381836,1.447006226,0.402557373,3.567941625,-0.240730321,0.714690704,-0.071400148
3.6667175,-0.092315674,1.289138794,0.594238281,3.637887625,-0.431001996,1.103855238,0.271694363
3.7258605,-0.382461548,0.901000977,0.39100647,3.707864625,-0.362307087,1.415624583,-0.342040964
3.7850035,-0.211914063,0.804168701,0.397537231,3.777810625,-0.307124525,1.504767775,0.181167658
3.8441465,-0.229476929,0.811935425,0.046035767,3.812783625,0.191316965,1.652805976,0.305739149
3.9032895,-0.170272827,0.689254761,0.252593994,3.882760625,-0.402468888,2.186880295,0.161682374
3.9624325,-0.088928223,0.752761841,0.062683105,3.952706625,0.344353653,1.907384202,0.312082
4.0215755,-0.200119019,0.716659546,0.085632324,3.987710625,0.236299887,1.718074195,0.165686703
4.0807185,-0.371353149,0.814712524,0.013504028,4.057656625,0.159356635,1.649340404,0.261535202
4.1398625,-0.149429321,0.985687256,0.088272095,4.127602625,0.113574233,1.81503776,0.398357234
4.1990055,-0.114334106,0.825454712,-0.046615601,4.197579625,0.184765589,1.352912199,0.357673453
4.2581485,-0.196487427,0.967529297,-0.068069458,4.232552625,0.217835925,1.344669715,0.401838518
4.3172915,-0.156784058,1.573562622,0.152770996,4.302529625,0.10246459,1.230933296,0.062444736
4.3764345,-0.285354614,0.631240845,-0.047927856,4.337502625,0.434043592,1.156418049,-0.382019806
4.4355775,-0.383026123,0.899749756,0.592849731,4.407449625,-1.408069195,1.565647904,0.016646355
4.4947205,-0.0078125,1.085632324,0.145782471,4.477425625,0.501899605,1.955602864,0.537483699
4.5538635,-0.049072266,0.895980835,0.206787109,4.512399625,-0.339044375,2.128537094,0.575424956
4.6130065,0.025817871,0.971389771,0.119903564,4.582345625,-0.28784031,2.61376105,0.343408764
4.6721495,0.032821655,0.97265625,0.009918213,4.652322625,-0.198089118,2.688888558,0.246687547
4.7312925,0.011993408,0.999343872,0.081085205,4.722268625,-0.383291465,2.557988864,0.088882202
4.7904355,0.076904297,1.009902954,0.095993042,4.757272625,-0.311443107,2.505795967,0.070357254
4.8495785,0.197052002,0.971969604,-0.085968018,4.827218625,-0.003439739,1.917994236,-0.023350064
4.9087525,-0.242950439,1.083740234,0.094772339,4.897195625,0.052224589,1.580198084,-0.48753265
4.9678955,-0.079360962,0.973388672,0.125244141,4.932168625,0.081065558,1.183468042,0.145229631
5.0270385,-0.185150146,0.933700562,0.001968384,5.002114625,-0.087410007,1.632343311,-0.27236761
5.0861815,0.007705688,0.999160767,-0.02293396,5.072091625,-0.035519645,0.917058722,0.110478042
5.1453245,-0.276779175,0.976623535,-0.023513794,5.142037625,-0.027095534,0.75013072,-0.050322027
5.2044675,-0.20375061,0.977218628,0.020050049,5.177010625,-0.079456476,0.698318122,0.021365476
5.2636105,-0.072143555,0.972915649,-0.042053223,5.246987625,0.028729649,0.652513083,-0.003065831
5.3227235,-0.060455322,0.977310181,-0.031814575,5.316933625,-0.034249317,0.35094764,-0.052230448
5.3818665,-0.151519775,0.995269775,0.02230835,5.351937625,-0.074219636,0.192067444,-0.0961774
5.4410095,-0.183624268,0.96484375,0.035049438,5.421883625,-0.026803651,0.04554618,-0.036440566
5.5001525,-0.086883545,0.993453979,-0.007003784,5.456857625,0.104559433,0.071306405,-0.019674902
5.5592955,-0.1484375,0.977706909,0.046585083,5.526833625,-0.151925883,0.033935064,0.002457565
5.6184385,-0.115280151,0.966964722,0.006347656,5.596780625,-0.08454631,0.038142858,-0.018004034
5.6775515,-0.152786255,0.987976074,0.069198608,5.666756625,-0.220238628,0.04522447,-0.062435681
5.7366945,-0.142105103,0.980834961,0.032684326,5.701730625,-0.124134466,0.03396862,0.003885286
5.7958375,-0.115905762,0.991744995,0.038604736,5.771676625,-0.11571648,0.041692053,0.052074387
5.8549805,-0.127319336,0.973297119,0.075546265,5.841653625,-0.17914046,0.136419362,0.061292919
5.9141235,-0.17326355,0.928329468,0.110443115,5.876626625,-0.189160071,0.229199899,0.094682834
5.9732975,-0.366699219,0.884994507,0.205001831,5.946572625,-0.708164361,0.791960459,-0.071763669
6.0324405,-0.009292603,1.115066528,-0.044647217,6.016549625,-0.149529837,1.07589684,0.172716383
6.0915835,-0.08807373,1.030548096,0.081512451,6.086495625,-0.443206464,0.841143185,-0.076650037
6.1506955,-0.11114502,0.914276123,-0.035140991,6.121499625,-0.185811679,0.620896301,-0.103145561
6.2098385,-0.176345825,0.865722656,-0.037979126,6.191445625,0.117811056,0.295576793,-0.081475419
6.2689815,-0.174743652,0.812820435,0.002838135,6.261422625,0.142752891,0.150150354,-0.012415657
6.3280945,-0.180679321,0.682067871,0.022079468,6.296395625,0.045486525,0.19751494,-0.093534745
6.3872375,-0.212936401,0.754959106,-0.023406982,6.366341625,0.249444717,0.142321193,0.094629304
6.4463805,-0.1822052,0.783630371,-0.023162842,6.436318625,0.047733967,0.089603653,0.02664972
6.5055235,-0.206253052,0.790115356,-0.038406372,6.471291625,0.174437051,0.158512413,0.148182544
6.5646665,-0.217376709,0.875411987,-0.04296875,6.541238625,0.060056946,0.122511269,0.202056162
6.6238095,-0.343139648,1.188354492,0.192047119,6.611214625,-0.094624244,0.386964497,0.120113359
6.6829525,0.069839478,1.333557129,0.479904175,6.646188625,-0.464004421,0.932018497,-0.000701743
6.7421265,-0.12562561,1.863265991,0.10597229,6.716164625,0.588088287,0.376446875,-0.165768995
6.8012385,0.069259644,1.186096191,-0.052993774,6.786111625,0.141584829,-0.071232369,0.379463171
6.8603825,0.141647339,0.705215454,0.048431396,6.821084625,-0.359067885,-0.218038325,0.285830955
6.9195255,-0.039489746,0.899551392,0.102340698,6.891061625,-0.524522892,-0.395534549,-0.025674471
6.9786685,0.017105103,0.753601074,-0.044433594,6.961007625,0.19158701,-0.03838201,-0.043603138
7.0378115,-0.070327759,0.860794067,0.090240479,7.030984625,-0.207072226,0.05918476,-0.236231177
7.0969545,-0.028549194,0.812911987,-0.029144287,7.065957625,0.330490035,0.019962257,-0.103463542
7.1560975,0.005493164,0.646179199,0.03678894,7.135903625,-0.263108598,0.073945863,-0.058589544
7.2152405,0.11555481,0.672241211,0.048675537,7.205880625,0.582638127,-0.305009975,-0.009857158
7.2743835,-0.136566162,0.981582642,0.18762207,7.240853625,0.102373777,-0.505808061,-0.053290652
7.3335265,-0.255554199,1.306060791,0.08605957,7.310799625,0.325931236,-0.447374844,0.276575937
7.3926695,-0.724639893,2.227249146,0.068572998,7.380776625,-0.077179207,-0.121931499,-0.675251152
7.4518125,0.287414551,1.036727905,-0.061660767,7.450722625,0.190648512,0.066833093,-0.267346486
7.5109555,-0.353591919,0.882858276,0.033859253,7.485726625,-0.278277164,0.110860206,-0.505969981
7.570055666,-0.014465332,0.378540039,-0.227706909,7.555627375,0.643823721,-0.123543777,0.072903236
7.629198666,-0.254699707,0.673828125,0.1118927,7.590601375,-0.274349268,-0.188004526,0.119441177
7.688341666,-0.130859375,0.633117676,-0.16305542,7.660577375,0.512025476,-0.061701448,0.114184363
7.747485666,-0.178085327,0.755065918,-0.095809937,7.730524375,0.044108606,-0.091400754,0.01830577
7.806597666,-0.386672974,1.176773071,0.104019165,7.765497375,0.40032025,-0.061020211,-0.130686907
7.865740666,-0.033782959,1.34664917,0.483093262,7.835474375,-0.562197833,0.832341171,0.085121819
7.924883666,0.140945435,1.923522949,-0.034759521,7.905420375,0.763223353,0.339068344,-0.023806796
7.984026666,-0.001266479,1.555541992,-0.164932251,7.975397375,0.119660355,-0.412863206,0.199325091
8.043169666,0.15826416,0.648605347,-0.11315918,8.010370375,-0.114380905,-0.440702294,0.208979582
8.102312666,-0.131973267,0.841796875,0.132766724,8.080347375,-0.985234048,-0.632956426,-0.151231597
8.161425666,0.026123047,0.691314697,0.004364014,8.150293375,0.058385546,0.108704377,0.014062556
8.220568666,0.118087769,0.622009277,-0.031402588,8.185266375,0.318569726,0.064669807,-0.101279217
8.279711666,-0.05267334,0.703598022,0.041946411,8.255243375,-0.193825929,-0.296926749,-0.345513726
8.338854666,0.050949097,0.684234619,-0.029312134,8.325189375,0.563684144,-0.91145623,-0.148454719
8.397997666,-0.186981201,0.713882446,0.220153809,8.395166375,0.40166994,-0.866890094,0.047168045
8.457140666,-0.461929321,1.623184204,0.185531616,8.430139375,-0.09201621,-0.573951961,-0.024088026
8.516283666,-0.455718994,2.359725952,0.112060547,8.500085375,-0.228111465,-0.563774691,0.107654026
8.575396666,0.162963867,1.042510986,-0.342712402,8.570062375,0.488622948,-0.382785198,-0.394720421
8.634539666,-0.182144165,0.73387146,-0.017608643,8.605035375,-0.188305995,-0.872467286,-0.481518434
8.693682666,-0.186798096,0.378250122,-0.058013916,8.674982375,0.286993424,-1.322148161,-0.068492775
8.752795666,-0.363540649,0.752792358,0.202636719,8.709985375,-0.502579777,-1.010000914,-0.27481612
8.811938666,-0.138473511,0.662124634,-0.213119507,8.779932375,0.911908435,-0.726320728,0.166520006
8.871081666,-0.150085449,0.710067749,-0.161254883,8.849908375,0.444737516,-0.806941539,0.295696901
8.930193666,-0.181732178,1.559173584,0.16835022,8.919855375,0.596979516,-0.492376408,0.56494808
8.989336666,-0.539718628,0.275054932,0.72479248,8.954828375,-1.005455431,0.09444528,-0.85284405
9.048479666,0.604415894,2.599624634,0.204818726,9.024805375,2.384018398,-0.110445285,0.614384073
9.107622666,-0.589324951,0.412490845,-0.738098145,9.094751375,2.608686663,-1.45347476,0.242839811
9.166766666,-0.065795898,0.799346924,0.393539429,9.129724375,-0.527604436,-0.563645262,0.181715737
9.225878666,-0.126464844,0.762786865,-0.429275513,9.199701375,0.930418736,0.24425102,-0.066914852
9.285021666,0.292358398,1.035720825,-0.171890259,9.269647375,0.205948372,-0.175140392,0.442816311
9.344164666,-0.04119873,0.993041992,-0.128585815,9.339624375,0.177792634,-0.685528557,-0.034981154
9.403307666,-0.009155273,0.978210449,-0.18119812,9.374597375,0.181811611,-0.766158156,0.207064237
9.462450666,-0.247558594,0.981414795,-0.125686646,9.444574375,-0.003918309,-0.397138838,-0.017872208
9.521593666,0.055145264,0.965118408,-0.178146362,9.514520375,-0.087704819,-0.042185537,0.086220906
9.580706666,-0.007339478,1.000946045,-0.166534424,9.549493375,-0.117098128,-0.170173863,0.044686778
9.639849666,-0.107528687,0.970443726,-0.100692749,9.619470375,-0.301220031,-0.047312655,-0.03614602
9.698992666,-0.012710571,0.979278564,-0.15725708,9.654443375,-0.246868109,0.020691696,-0.067162792
9.758135666,0.124832153,0.959213257,-0.140609741,9.724390375,-0.176332689,0.107345099,-0.193975066
9.817278666,-0.525985718,1.274887085,0.079666138,9.794366375,0.034406443,-0.231525105,-0.686048939
9.876421666,0.080078125,0.808868408,0.118087769,9.864313375,-0.563697193,-0.455647155,0.858639621
9.935564666,-0.184417725,0.885620117,-0.408035278,9.899316375,0.690565926,0.054016097,-0.553471187
9.994677666,-0.194900513,1.051101685,-0.037719727,9.969263375,-0.238081808,0.10294822,0.178888259
10.05382067,-0.212219238,0.878097534,-0.20690918,10.03920938,0.317449867,0.126003472,-0.17468366
10.11296367,-0.01260376,1.012283325,-0.177505493,10.07421338,0.311574934,0.233884133,-0.105938418
10.17210667,-0.203186035,0.942367554,-0.161453247,10.14415938,-0.016064454,0.015886555,-0.011880095
10.23124967,-0.166275024,0.960388184,-0.135314941,10.21413638,0.415399867,-0.107718741,-0.108283065
10.29039267,-0.11668396,0.964248657,-0.276107788,10.28408238,-0.194709034,-0.008264321,0.078583492
